id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.896338902906442e-07 3.1784641729165597e-07 1.1439433908630662e-06 5.427373458478487e-07 1.3101352720024763e-06 1.4426458797081562e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 461 499 105 304 482 414 | 997 997 998 997 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.6623941428291945e-06 2.4859692555968782e-06 2.2654583834017978e-06 3.701512599119757e-06 7.163655077539245e-06 9.310818276807865e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 2.0 2.0 2.0 2.0 | 34 12 445 499 0 0 | 998 998 997 996 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.3567734498091068e-05 8.46042009236377e-06 4.557833099385727e-06 1.4113470564948788e-05 1.2699614053563075e-05 2.0904621203629818e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 10.0 2.0 2.0 11.0 3.0 19.0 | 1 0 303 4 0 0 | 998 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.3218584989163304e-05 1.2914605844085617e-05 1.1312059520354744e-05 2.238906473284953e-05 2.5716159732027487e-05 2.3213059862050253e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 34.0 2.0 15.0 39.0 16.0 29.0 | 1 0 304 1 495 0 | 997 997 996 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.7951354823103137e-05 1.2912445804769427e-05 2.140975006722996e-05 2.0549657668400366e-05 3.9013896057677284e-05 2.2120593336787463e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 48.0 2.0 45.0 39.0 29.0 22.0 | 234 0 0 0 1 280 | 998 998 998 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.6376722928771497e-05 1.0970764746059595e-05 2.150265238050864e-05 1.2417669347171148e-05 3.4565834989144e-05 3.240103314444823e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 20.0 2.0 38.0 8.0 32.0 9.0 | 0 0 225 53 2 5 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.7180832365889957e-05 9.024869502356302e-06 1.201771645093841e-05 1.395392666162236e-05 1.9880078752273833e-05 3.617572904632511e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 14.0 2.0 9.0 9.0 38.0 8.0 | 0 5 0 1 249 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.8010171808887126e-05 2.9192380171166074e-05 1.982178444136521e-05 1.8609263381310367e-05 2.373375692646708e-05 0.00010271056690791793 | 0.0 0.0 0.0 0.0 0.0 0.0 | 26.0 6.0 24.0 20.0 34.0 16.0 | 85 0 1 468 2 0 | 998 998 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.8243445212812882e-05 3.16546912169666e-05 1.9416739438219268e-05 1.8927455899991658e-05 2.1620917118076493e-05 0.00011449161663966916 | 0.0 0.0 0.0 0.0 0.0 0.0 | 25.0 9.0 23.0 15.0 16.0 18.0 | 105 1 0 233 2 1 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.231046968293571e-05 1.655975558777008e-05 5.215729049128783e-06 1.759673975269066e-05 1.0602837314167767e-05 7.159352868226641e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 18.0 8.0 2.0 2.0 2.0 5.0 | 0 0 2 0 1 0 | 992 998 998 995 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.007733913695398e-05 1.044185069081708e-05 5.687885276741164e-06 1.4774738682444813e-05 1.0226087212582027e-05 4.914779921770669e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 16.0 5.0 2.0 2.0 2.0 11.0 | 0 0 72 0 0 0 | 995 998 998 995 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.2782002580477597e-05 4.362902479681597e-06 4.76257689126522e-06 9.439295395673765e-06 1.0855905541816432e-05 2.5017346500886063e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 7.0 2.0 2.0 2.0 2.0 14.0 | 1 0 418 0 0 0 | 998 997 998 998 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.648035195490158e-06 3.8059026934957415e-06 2.940496875063272e-06 8.004913154810305e-06 9.03921642058984e-06 1.633930719006185e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 8.0 2.0 2.0 3.0 2.0 8.0 | 344 9 459 10 0 0 | 997 998 995 997 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0868864044369114e-05 4.012710598881705e-06 2.98826679694912e-06 9.856242257430422e-06 7.953173793429505e-06 9.837662936549763e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 9.0 2.0 2.0 6.0 2.0 4.0 | 262 299 461 17 1 0 | 998 997 997 996 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.1698424769503561e-05 4.308613073384821e-06 2.9193659643404794e-06 1.0149851796876723e-05 9.243084038879757e-06 1.1079705352928628e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 2.0 5.0 2.0 2.0 | 17 50 499 13 0 0 | 996 997 997 996 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.021385117252372e-05 3.652959942343022e-06 3.4812913931622733e-06 9.12969765331125e-06 9.449478813456078e-06 9.778848592466827e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 4.0 2.0 2.0 4.0 2.0 2.0 | 1 6 149 0 0 0 | 996 998 998 997 995 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.40479172045493e-06 3.451422458621394e-06 3.8175378876042074e-06 8.300033346225609e-06 7.610456538204337e-06 8.521344874217119e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 2.0 4.0 2.0 2.0 | 4 29 17 4 0 0 | 996 997 995 997 996 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0709827421428637e-05 4.289632667535545e-06 4.37208816827081e-06 8.860790173442594e-06 7.62947113819963e-06 1.1987876374927579e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 7.0 2.0 2.0 4.0 2.0 2.0 | 196 15 51 28 0 0 | 997 997 992 997 995 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.5871776534572902e-05 5.582580364894214e-06 6.034145592233214e-06 1.18366866102897e-05 8.610419375095264e-06 1.196973817149218e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 15.0 2.0 2.0 4.0 3.0 2.0 | 184 7 96 390 6 0 | 998 998 997 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.046552438187668e-05 9.370221522901993e-06 6.603563060351683e-06 1.841929141801663e-05 1.034552610240016e-05 1.9086598612867e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 33.0 2.0 2.0 12.0 4.0 7.0 | 68 1 39 7 50 0 | 998 998 997 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.7458299783504683e-05 9.695378684308462e-06 7.743319057288043e-06 1.9135826901061223e-05 1.4006234772019124e-05 2.4965207497684842e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 26.0 2.0 3.0 14.0 11.0 21.0 | 333 2 498 17 497 2 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0947267720912263e-05 5.410390374341875e-06 8.979930408122611e-06 1.1516677873593866e-05 1.618925744723843e-05 2.2826851285430106e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 4.0 5.0 18.0 25.0 | 28 166 141 299 54 4 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.522321515140776e-06 2.5416347969404107e-06 7.1486348227279816e-06 4.967973165016781e-06 1.3247978554323005e-05 1.4918389812482837e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 11.0 14.0 | 0 166 27 9 56 0 | 997 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.127591968265937e-06 3.0095957220437127e-06 7.522218980331191e-06 5.25125517588473e-06 1.9433929174772658e-05 1.623386392554499e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 11.0 15.0 | 0 498 33 4 1 0 | 998 997 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.156669996495221e-06 3.2396515120147726e-06 9.419519652623128e-06 4.217378690241365e-06 1.8948047646718604e-05 1.70034828264421e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 11.0 16.0 | 1 110 299 10 1 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.556954607173091e-06 4.6578218521260484e-06 1.1691158586907338e-05 6.737604788253399e-06 1.3958871017383083e-05 8.078312478981488e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 15.0 2.0 | 0 0 213 0 1 0 | 997 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
