id | rms | ApprEnt | LZComp | mpf | sef
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0707469051589938e-05 4.411278751904526e-06 5.55779833325726e-06 7.173972212594802e-06 1.4386852253500315e-05 1.951079591010388e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 11.0 | 0 0 392 1 0 0 | 997 995 998 997 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.0694257552555e-06 4.086701890986297e-06 4.1315942016507585e-06 7.864789265426293e-06 1.3656272725948873e-05 1.5869517219944303e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 2 3 81 59 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.188347830974916e-06 3.345280067154348e-06 5.927535871572886e-06 8.249738817092617e-06 1.2409775834371852e-05 1.3550977295943415e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 0 1 8 0 0 0 | 998 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.817397200637205e-06 2.4004478132873966e-06 6.07155781073736e-06 6.346899648095396e-06 1.568118035194144e-05 1.640746345524253e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 10.0 | 2 33 16 0 0 0 | 998 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.081434625301538e-06 1.7984169292856516e-06 4.521463157451681e-06 3.5147676553028802e-06 1.4275921945416003e-05 1.5757330555188854e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 8.0 | 4 4 11 47 0 0 | 998 997 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.746687124998219e-06 2.326200338530902e-06 4.635255437863959e-06 2.4062804603325278e-06 1.0260984819649267e-05 1.3424692019900983e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 0 0 61 0 0 | 998 996 995 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.303834472947038e-06 3.4518868720026734e-06 5.4412611328121885e-06 3.442434139909529e-06 9.55579968764582e-06 1.4912356773483046e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 0 0 0 15 1 0 | 998 997 998 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.90953504129311e-06 3.849859637134992e-06 4.9445895705719684e-06 5.047803948830769e-06 1.015360479155287e-05 1.6471047962438795e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 10.0 | 0 0 6 0 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.758758039249526e-06 2.9958060721989555e-06 4.243523199427921e-06 4.275032501379645e-06 1.0117803319572119e-05 1.4451561956913131e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 7.0 | 0 0 4 2 0 0 | 996 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.686085030793411e-06 2.2036660585280137e-06 4.070768500131518e-06 2.4530410389207753e-06 1.2110173654806878e-05 1.3767670052615715e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 0 16 29 0 0 | 998 998 998 998 995 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.685025886146458e-06 2.05604986796182e-06 5.187549802115983e-06 3.286045737152261e-06 1.0453768263949363e-05 1.2684353392114904e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 8 1 10 74 0 0 | 998 998 997 997 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.257591204801229e-06 3.0591773633165735e-06 5.185012468849449e-06 4.1239892720378605e-06 1.1182484945701006e-05 1.3874180710202244e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 0 40 15 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.821040839472273e-06 2.9868671140181897e-06 4.13266879463696e-06 3.950203393706205e-06 1.2958827983921543e-05 1.5510793021261e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 0 299 41 0 0 | 997 998 998 998 994 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.660199643474066e-06 2.6160430496024804e-06 4.754650741433997e-06 3.850475251892666e-06 1.57389377088854e-05 1.4970292887018267e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 2.0 | 0 1 111 126 0 0 | 998 998 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.990111849109919e-06 2.6227788739267976e-06 4.0886782415106885e-06 3.653594446897485e-06 1.6670215859511114e-05 1.465094350570954e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 2.0 | 0 0 31 78 0 0 | 998 998 998 998 963 993 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0055456829602448e-05 2.7612519860365184e-06 4.844788897045273e-06 3.186466393533938e-06 1.6417176474535694e-05 1.5090965416011205e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 6.0 | 0 1 12 27 0 0 | 998 998 998 998 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0785870341127518e-05 2.834724198493352e-06 6.454294139581156e-06 3.3138890758213645e-06 1.597298140734775e-05 1.5870528380317956e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 6.0 | 0 0 39 63 0 0 | 998 997 998 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.082857255931145e-06 3.824212805591875e-06 7.016183625713567e-06 3.6885614084148733e-06 1.0202665257407144e-05 1.4789491183322153e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 5.0 | 0 0 1 32 0 0 | 998 998 997 998 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.320526842823735e-05 9.463074422831158e-06 1.0967959413133715e-05 1.3926502576464215e-05 7.878005602983694e-06 1.998970917579083e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 2.0 2.0 2.0 13.0 | 0 0 0 0 12 0 | 998 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.0548894367255703e-05 1.1859992783340233e-05 1.2187055220645243e-05 1.8852174121825528e-05 8.272741128849597e-06 2.0814116158234213e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 9.0 2.0 2.0 2.0 2.0 12.0 | 0 0 0 0 12 0 | 0 0 972 0 998 995 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.4504557128404504e-05 1.0189817132293829e-05 9.170103361247943e-06 1.630859484986704e-05 8.545176563801991e-06 1.8380945974258528e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 10.0 2.0 2.0 4.0 2.0 10.0 | 0 0 0 0 20 0 | 993 2 998 997 998 992 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.6150474382794107e-05 7.322671323539037e-06 6.456346784766432e-06 1.0649471392063083e-05 1.1779630872012737e-05 1.9458052193396512e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 6.0 2.0 2.0 4.0 6.0 13.0 | 0 0 16 0 0 0 | 997 997 998 998 997 986 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.142860513574554e-06 4.036859083910162e-06 5.041607714530221e-06 4.6408801563421474e-06 1.1215766253349915e-05 1.5557715915008323e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 7.0 | 0 0 16 10 0 0 | 997 998 996 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.764438619988003e-06 2.331564241093607e-06 4.40869530158794e-06 5.110947084691117e-06 9.860939941577802e-06 1.2911318749678221e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 41 1 12 2 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.491621987531827e-06 2.6204604120229687e-06 5.7807763520109136e-06 8.142036023241858e-06 1.3369641424148278e-05 1.5845375470148074e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 5.0 6.0 | 2 156 69 0 0 0 | 998 998 998 998 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.638525185809378e-06 2.4757819249076777e-06 6.0312585509581696e-06 8.722265734115482e-06 1.2751743212535216e-05 1.5903059044880862e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 6.0 | 0 14 55 0 0 0 | 996 996 997 996 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.235447952284268e-06 1.7769059584696153e-06 5.1950423188787406e-06 8.595349797047796e-06 1.302287721057165e-05 1.4690837124378167e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 7 299 0 0 0 | 996 996 998 996 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.468487244694804e-06 1.9350946278342144e-06 6.067191066852769e-06 8.085159081498906e-06 1.518563356576301e-05 1.4289620446091488e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 3.0 4.0 | 0 9 40 0 0 0 | 998 995 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.539726704195926e-06 2.8898939904587383e-06 9.683489204152453e-06 7.790532485416495e-06 2.132522967369329e-05 1.375843462332401e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 14.0 5.0 | 494 0 7 0 0 0 | 998 998 998 997 997 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 5.918095077898376e-06 3.07615752069693e-06 9.024496504546707e-06 7.038390477397034e-06 1.9445048844772205e-05 1.1353523600232546e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 12.0 4.0 | 17 5 8 0 0 0 | 996 998 998 996 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.860792834606495e-06 2.9219882859517757e-06 4.010210616426497e-06 4.493492611959161e-06 1.3198217681212948e-05 1.5216949990283167e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 8.0 | 6 5 299 0 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 5.312410186664942e-06 2.4875583949254574e-06 4.512768258430417e-06 3.953830294300328e-06 1.4108645325675458e-05 1.6350780324075817e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 8.0 | 1 2 299 2 0 0 | 997 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.896159628155396e-06 1.723362391529803e-06 3.9832301670233985e-06 3.0045448542784617e-06 1.4195308543297064e-05 1.500762174183982e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 4 57 5 0 0 | 998 998 998 997 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.7276976942063745e-06 2.735690781910336e-06 4.603380509663254e-06 2.4939013999932144e-06 1.373016244590975e-05 1.6874761785480174e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 0 8 13 0 0 | 998 998 998 998 998 976 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0423793512411896e-05 4.907333125229508e-06 5.588473231701216e-06 5.614214796222667e-06 1.1023338522220985e-05 1.7804070296107356e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 7.0 | 0 0 0 10 0 0 | 998 997 998 998 996 989 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0870312661280888e-05 4.51170002367476e-06 5.3972128858291815e-06 6.213241548804831e-06 1.087443432402929e-05 1.52639455982237e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 8.0 | 0 0 125 2 0 0 | 998 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.168249464234967e-06 2.103765866425868e-06 5.697035913869745e-06 5.213963146640725e-06 1.0103208904616148e-05 1.1427082453250856e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 6 6 299 15 0 2 | 998 998 998 998 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.018848447424109e-06 3.5088713948521666e-06 5.57364540205494e-06 6.122045664755331e-06 1.0485075388244443e-05 1.5406840666529392e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 4 0 8 4 0 0 | 997 997 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.02051981373266e-05 5.75244952405092e-06 7.215700004277639e-06 7.348409054756871e-06 9.05654195426148e-06 1.7349540234250627e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 5.0 | 0 0 0 0 2 0 | 998 996 998 995 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.4726235123320305e-05 7.288442394663445e-06 8.571573990801202e-06 8.990819601320747e-06 7.310801863619465e-06 1.838036143760184e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 5.0 | 0 0 0 0 2 0 | 8 2 990 983 997 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.3981906720310424e-05 7.189016906896076e-06 6.783558323990614e-06 7.862158288357294e-06 7.980390208693018e-06 1.800315681329468e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 0 0 0 0 2 0 | 982 17 998 996 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.413231982964958e-06 5.113917154258605e-06 4.358277380061987e-06 4.446498334765575e-06 8.093797676763194e-06 1.4873093780325537e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 0 0 0 42 9 0 | 998 998 998 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.339807495594677e-06 2.420420904932467e-06 4.209312642063609e-06 4.164465344456783e-06 9.742574261562422e-06 1.4166658661270703e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 73 0 0 0 1 0 | 998 998 993 996 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 5.858617594562198e-06 2.3355957953886706e-06 5.874005937668635e-06 6.3186975493969405e-06 1.5451393195960473e-05 2.0019834496367417e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 6.0 4.0 | 0 52 5 0 0 0 | 998 998 994 995 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.264888307925438e-06 3.2202500272425263e-06 9.408249088437795e-06 7.948185439489205e-06 1.870227136606162e-05 2.4377800509806202e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 10.0 6.0 | 3 33 12 8 0 1 | 998 997 997 998 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.421979029740576e-06 3.4274063971685323e-06 1.129792308816152e-05 7.671205644591789e-06 1.4462922267104639e-05 2.0312047638768142e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 7.0 6.0 | 13 6 8 16 1 1 | 997 997 998 996 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 5.812836812317047e-06 2.9177609533921665e-06 9.232707634676019e-06 5.952785631045291e-06 1.1016913646090367e-05 1.579887870845612e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 9.0 | 28 4 12 20 0 0 | 998 998 998 997 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.486487660094743e-06 4.40889409918154e-06 6.7370106265031395e-06 8.461086712970547e-06 1.6113741972533374e-05 1.4492873894462507e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 5.0 6.0 | 1 1 12 0 0 1 | 998 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.240013889254533e-06 4.329677810348164e-06 6.090567857598437e-06 1.013552651878683e-05 1.8427794467121957e-05 1.550395285597313e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 10.0 6.0 | 0 0 11 0 0 0 | 996 998 998 996 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.965434463973179e-06 1.893305319910951e-06 5.301070596691123e-06 8.81226882697948e-06 1.6067287577103475e-05 1.5081654270276005e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 9.0 6.0 | 0 0 81 0 0 0 | 998 997 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 5.177915316725916e-06 1.815477680667934e-06 5.892185243180306e-06 7.01734016476513e-06 1.3653874546051897e-05 1.1176625952590719e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 8.0 2.0 | 1 0 11 0 0 1 | 998 997 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.70547385230332e-06 1.99220018210744e-06 5.651465382663346e-06 4.865430808462746e-06 1.423336331047176e-05 1.2272145085222242e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 8.0 2.0 | 78 9 0 2 0 2 | 998 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.2840798086315366e-06 1.7781082302228996e-06 5.602111512820505e-06 4.6575092267911e-06 1.4445045643202713e-05 1.5000140816616457e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 6 499 62 5 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.807262200492067e-06 2.8503688834036143e-06 5.4676251373007755e-06 4.549092586123148e-06 1.425222978350463e-05 1.5819914094832873e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 7.0 | 0 0 9 48 0 0 | 998 998 997 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.2421596218887507e-05 4.606286159274138e-06 5.628150450248863e-06 5.807014493061338e-06 1.3412861164636937e-05 1.7300835181766248e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 0 0 4 1 0 0 | 993 997 998 998 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.4889738982017656e-05 7.045818085364224e-06 1.1220677064815421e-05 9.281066367236796e-06 1.1233535073096122e-05 1.6291392111487984e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 0 0 0 0 23 0 | 3 995 998 997 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.5836917588197508e-05 9.373291177066792e-06 1.5340001761229812e-05 1.2941370167514585e-05 7.964287825544291e-06 1.929767319736337e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 15.0 | 0 0 0 0 19 0 | 0 0 5 993 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.787843563427444e-05 9.634002224392943e-06 1.4577841825789009e-05 1.2921981287664128e-05 7.997112907238028e-06 1.9864749138365302e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 15.0 | 0 0 0 0 108 0 | 3 0 993 995 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.6530296283657035e-05 7.264349795367692e-06 9.755230085188185e-06 9.297691236928823e-06 9.778402760313546e-06 1.5440923405029295e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 0 0 0 0 15 0 | 997 997 998 997 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0373292436219202e-05 3.908119946982321e-06 6.651819606271461e-06 8.279757638537853e-06 9.563519765901375e-06 1.3722902862018636e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 7 6 0 13 0 0 | 998 998 998 998 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.997389493222856e-06 2.2185448570919886e-06 6.038679304692036e-06 7.950890106531025e-06 1.2205455573086585e-05 1.4316823743068231e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 4.0 2.0 | 0 6 2 0 0 0 | 997 998 998 996 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.1793856982343794e-05 2.486089607945081e-06 3.7786800254183472e-06 8.04494173780406e-06 1.1694044862260945e-05 1.3736167852731684e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 4.0 2.0 | 0 0 27 0 0 0 | 998 998 997 993 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0663035504472468e-05 2.6705696926851756e-06 4.583262558849899e-06 7.368210012212827e-06 1.1604804634410337e-05 1.4154493216871416e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 7.0 | 0 46 2 0 0 0 | 998 998 996 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 5.725310968361349e-06 2.7515542243593546e-06 5.794016396397294e-06 4.599792921595401e-06 1.4300858213631558e-05 1.8342867635067492e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 16.0 | 11 3 6 15 0 0 | 997 998 996 998 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.009283860020574e-06 2.558707444068002e-06 5.210710383232901e-06 4.959284805064429e-06 1.4836721407195108e-05 1.64636727384482e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 4.0 15.0 | 0 2 67 24 0 0 | 998 998 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.551808309444648e-06 2.1889756947579317e-06 3.969177570290131e-06 4.790392872287819e-06 1.5290867561325992e-05 1.4900681644892455e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 5.0 8.0 | 0 2 71 1 0 0 | 996 998 998 998 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.428801042478519e-06 2.1639293421014564e-06 5.5612517846444955e-06 4.75187913041797e-06 1.6102438203912795e-05 1.52724572491596e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 4.0 10.0 | 0 29 10 131 0 0 | 996 997 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.255717995378754e-06 2.1960919800268244e-06 6.000666516003305e-06 4.6241035618524345e-06 1.5772014799426527e-05 1.4149032447009505e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 5.0 | 26 40 14 11 0 0 | 998 998 996 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.8671991125754975e-06 1.989764089380749e-06 4.671037412530838e-06 4.461013979302891e-06 1.377082035973415e-05 1.309592111705486e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 66 69 299 4 0 0 | 997 998 998 998 911 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.251178560825236e-06 2.3663120408973664e-06 5.364008806807974e-06 4.595818336668696e-06 1.2478374355098207e-05 1.406166145770422e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 2.0 | 23 4 15 11 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 8.052202237234456e-06 3.154139820039407e-06 6.084612372113832e-06 5.177783448118083e-06 1.4143044541331854e-05 1.639073855852831e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 0 0 10 22 0 0 | 998 997 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.0023732977077771e-05 3.7388307083054897e-06 6.020085181762316e-06 5.123519075862367e-06 1.3123074266976359e-05 1.5469878256040854e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 0 0 14 11 0 0 | 995 996 998 998 998 992 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 9.897190163105645e-06 4.165017056361574e-06 5.4276187046591445e-06 4.6910483707698526e-06 1.2088624390251263e-05 1.6270824512338015e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 0 0 15 4 0 0 | 994 994 998 998 997 985 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 7.662417097979316e-06 3.249107004205604e-06 4.784774601408191e-06 4.804260944783041e-06 1.1879618385952978e-05 1.5224660840522541e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 6.0 | 2 1 24 93 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 6.060088777533679e-06 3.2912707776115658e-06 5.72923330814205e-06 5.456351277916585e-06 1.1817473696717326e-05 1.6585426649338622e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 9.0 | 388 4 7 200 0 0 | 998 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.5621600148175173e-05 7.471921570175042e-06 1.0625171153809369e-05 7.22530000136556e-06 1.110003765993846e-05 1.9968928059020518e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 9.0 2.0 4.0 2.0 2.0 15.0 | 0 0 0 0 0 0 | 998 998 998 997 998 994 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.731861061535351e-05 1.215639716338527e-05 2.591074291116123e-05 2.8242970509265632e-05 1.0765150293820876e-05 2.2083612199789237e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 20.0 9.0 47.0 26.0 4.0 25.0 | 40 10 0 10 175 14 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
3 | 1.526861547615566e-05 1.018234788783814e-05 2.3858536709449115e-05 2.8360731372087475e-05 1.3631623273933233e-05 2.0839840102979744e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 18.0 6.0 36.0 22.0 15.0 26.0 | 0 76 0 0 14 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
